mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
563046.36792531004175544,8566592.94401943497359753,563094.82328766374848783,8566637.4325327705591917,1,-0.36298456802978762,-4.36461489890018584,4.37968275247525796
562772.18940929335076362,8566538.00276241824030876,562817.88107702718116343,8566582.40278030931949615,1,1.64212221914840484,-5.1088051865201578,5.36623292603257607
562585.38435819710139185,8566473.13906077854335308,562630.79951818974222988,8566521.376538360491395,1,1.32448788891224467,-1.65954220538844766,2.1232871919127585
561789.42978220945224166,8566902.38104452006518841,561831.72550187399610877,8566961.62032269313931465,1,3.89912177200403676,6.19421493470645146,7.31925195974673048
561785.6346457313047722,8566918.19411317445337772,561826.77284410584252328,8566976.47829599492251873,1,5.09285076885839771,5.19484805078798217,7.27485912060414197
560787.81495325569994748,8565757.78595476038753986,560830.06742946116719395,8565811.92527424730360508,1,-1.48680541932253618,0.69585362751558932,1.64158540010974363
562013.23929647216573358,8565113.17321797087788582,562058.96841316530480981,8565159.78310954384505749,1,-4.07892186101685184,-2.02011831251456897,4.55175587491661116
560561.76732073095627129,8565531.26599448546767235,560604.81485761574003845,8565586.3241281732916832,1,-3.41764866399583411,1.45772725284086846,3.71554721867284243
563059.58591097162570804,8565494.43611257523298264,563107.26343125989660621,8565541.95125928707420826,1,-2.64886770348039136,1.0243963193536274,2.84005069138681776
563878.20822736551053822,8566840.69782044738531113,563928.79395888315048069,8566886.31910231895744801,1,0.03664556405556141,-1.41395958879286354,1.41443438027510981
