mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
563046.36792531004175544,8566592.94401943497359753,563094.82328766374848783,8566637.4325327705591917,1,-1.15677533509597197,-6.3838605342136816,6.48781970281059817
562772.18940929335076362,8566538.00276241824030876,562817.88107702718116343,8566582.40278030931949615,1,0.91359242183625611,-6.39765625750385425,6.46255806182156167
562585.38435819710139185,8566473.13906077854335308,562630.79951818974222988,8566521.376538360491395,1,0.71765411214391861,-2.47150685268661618,2.57359156579943349
561789.42978220945224166,8566902.38104452006518841,561831.72550187399610877,8566961.62032269313931465,1,1.82413437376931142,7.94798949095923035,8.15463078023555354
561785.6346457313047722,8566918.19411317445337772,561826.77284410584252328,8566976.47829599492251873,1,2.97210345741427773,6.97127006836058172,7.57839068190562859
560787.81495325569994748,8565757.78595476038753986,560830.06742946116719395,8565811.92527424730360508,1,-0.66584977369791432,4.40384304109011282,4.4538959857288285
562013.23929647216573358,8565113.17321797087788582,562058.96841316530480981,8565159.78310954384505749,1,-1.04335306644793491,-2.24997270568337626,2.48011346465972826
560561.76732073095627129,8565531.26599448546767235,560604.81485761574003845,8565586.3241281732916832,1,-2.03264950112651377,5.63080287424168091,5.98645178741115735
563059.58591097162570804,8565494.43611257523298264,563107.26343125989660621,8565541.95125928707420826,1,-0.34547198866584949,-1.86305675310268271,1.89481697275337058
563878.20822736551053822,8566840.69782044738531113,563928.79395888315048069,8566886.31910231895744801,1,-1.18338470583921662,-5.58785232208970228,5.71178544200475358
